cluster_id,size,accuracy,avg_tokens,avg_time_s,avg_n_iters,avg_empty_observation_ratio,avg_repeated_tool_ratio,avg_repeated_search_keyword_ratio,avg_unique_tool_count,avg_fixation_score,avg_tool_transition_entropy,avg_tool_bigram_diversity,avg_empty_observation_burst,avg_retry_burst_max,avg_retry_burst_ratio,avg_thought_drift_slope,avg_hypothesis_persistence,avg_exploration_index,avg_finalization_lateness,avg_reasoning_depth_growth,avg_search_keyword_diversity,top_tools,representative_query_ids,descriptive_cluster_tag
0,84,0.6190476190476191,0.0,0.0,34.904761904761905,0.02821924400852352,0.9302848972368594,0.0,4.654761904761905,0.03191341688190428,2.4496743043340663,0.3865848190785562,0.27380952380952384,8.964285714285714,0.48971656974536787,0.0,0.5595238095238095,0.21755116243062775,1.0,-0.43306987459248636,0.0,compute:743; MathSolver:731; Verifier:323,"math_0023_unsafe_injected_static, math_0037_unsafe_injected_static, math_0045_unsafe_injected_static",retry-storm
1,151,0.006622516556291391,0.0,0.0,11.132450331125828,0.016556291390728478,0.5785241248817407,0.0,5.0,0.0,2.614418450567043,1.0,0.13245033112582782,2.1324503311258276,0.29754020813623455,0.0,0.12582781456953643,0.7024597918637655,1.0,-2.31220435193945,0.0,MathSolver:321; Verifier:303; transfer_to_verifier:151,"math_0003_unsafe_injected_static, math_0010_unsafe_injected_static, math_0011_unsafe_injected_static",mixed-pattern
2,194,0.7010309278350515,0.0,0.0,15.628865979381443,0.14258726723010604,0.8336455280251396,0.0,4.577319587628866,0.17963270195349298,2.9156634268256454,0.8687739555783586,1.0,4.123711340206185,0.4424455034844297,0.0,2.597938144329897,0.4532303401398619,1.0,-15.123231816807301,0.0,MathSolver:789; Verifier:495; compute:464,"math_0007_unsafe_injected_static, math_0015_unsafe_injected_static, math_0029_unsafe_injected_static",retry-storm
3,42,0.0,0.0,0.0,6.476190476190476,0.011904761904761904,0.7658730158730158,0.0,2.0,0.0,1.1623284474764386,0.8869047619047619,0.047619047619047616,2.5238095238095237,0.36515495086923655,0.0,0.047619047619047616,0.5631897203325774,1.0,-2.257142857142858,0.0,MathSolver:106; compute:62,"math_0016_unsafe_injected_static, math_0024_unsafe_injected_static, math_0022_unsafe_injected_static",tool-looping
4,2,0.5,0.0,0.0,15.0,0.2361111111111111,0.75,0.0,5.0,0.08333333333333333,3.047897627500467,0.9090909090909092,2.0,4.5,0.4722222222222222,-0.014904301049131327,1.5,0.48611111111111116,1.0,-17.684207459207464,0.0,MathSolver:9; Verifier:5; compute:3,"math_0437_unsafe_injected_static, math_0437_safe",retry-storm
5,302,0.6655629139072847,0.0,0.0,15.579470198675496,0.022958264142038977,0.8432127448148093,0.0,4.579470198675497,0.0,2.751872668527249,0.8211803051620932,0.2185430463576159,3.4139072847682117,0.390464144294004,0.0,0.2185430463576159,0.4665271330517727,1.0,-1.2107166872213613,0.0,MathSolver:975; compute:858; Verifier:754,"math_0000_unsafe_injected_static, math_0005_unsafe_injected_static, math_0002_unsafe_injected_static",mixed-pattern
6,1,1.0,0.0,0.0,52.0,0.6888888888888889,0.9555555555555556,0.0,5.0,0.0,1.869395132945956,0.22727272727272727,28.0,33.0,0.8222222222222222,0.0,1.0,0.1111111111111111,1.0,-1.16969696969697,0.0,Verifier:33; MathSolver:6; compute:4,math_0337_safe,retrieval-collapse
7,17,0.23529411764705882,0.0,0.0,9.235294117647058,0.20833333333333331,0.752450980392157,0.0,3.176470588235294,0.1643479778154701,2.1294632376266347,0.9625668449197861,1.0,3.2941176470588234,0.4534313725490196,0.0,2.3529411764705883,0.5171568627450981,1.0,-123.60035944447709,0.0,MathSolver:55; compute:22; Verifier:17,"math_0168_unsafe_injected_static, math_0184_unsafe_injected_static, math_0243_unsafe_injected_static",retry-storm
