k,silhouette,calinski_harabasz,nmi__label_safe_unsafe,ari__label_safe_unsafe,nmi__label_mistake_agent,ari__label_mistake_agent,nmi__label_unsafe_source,ari__label_unsafe_source
2,0.23903260350464814,200.9850713602503,0.08996000991469291,0.12090541342373858,0.042083635758202224,0.08693373952133938,0.1113913017812466,0.1798754210442058
3,0.2980717602026155,218.52066213284675,0.07110640329477093,0.09300600579178901,0.06413934998052137,0.12387845129125886,0.11431296053243276,0.20341558186540842
4,0.2887431454374272,202.72334829093472,0.18250286284451286,0.13879246796601227,0.0713216163168061,0.08658589941640032,0.17265289511824905,0.15067761688705655
5,0.3135750862511483,193.42009203201712,0.19473874955289058,0.13013021301575675,0.09872427963318751,0.0557706067543454,0.16042920706900407,0.09722501055125665
6,0.3172463394713899,197.41128114223503,0.19923031814720535,0.13022732795708603,0.09862243677526349,0.05524341609347033,0.16685590869152317,0.10292897754949072
8,0.34011498140296276,216.15400316263296,0.18898110993378214,0.12726394678979122,0.08600625842814083,0.04894760181329205,0.1536310426156047,0.09944490924745339
10,0.32640730769683474,221.52748804995315,0.1612910339955503,0.09773789112047371,0.09754697776485924,0.0713355647208519,0.14098256891363758,0.09829676848465423
12,0.32829066974361326,221.21373095906137,0.1389013574768516,0.07937565573957295,0.09978459004302473,0.07647727887316089,0.12618549264554296,0.0880057476780895
