target,test,statistic,p_value,effect_size,effect_size_metric
final_correct,chi_square,264.02566705558957,2.8560029449951836e-53,0.5770141728603396,cramers_v
n_iters,anova_f,256.68862430792393,2.7477558345954484e-181,0.6623847223272692,eta_squared
empty_observation_ratio,anova_f,190.66628426918732,1.5181229680307893e-149,0.5930529115120556,eta_squared
tool_transition_entropy,anova_f,299.69767493407926,3.4794973453768916e-199,0.6961117066576777,eta_squared
hypothesis_persistence,anova_f,237.02343159304158,1.960972309041443e-172,0.6443362041757761,eta_squared
