k,silhouette,calinski_harabasz,nmi__label_safe_unsafe,ari__label_safe_unsafe,nmi__label_mistake_agent,ari__label_mistake_agent,nmi__label_unsafe_source,ari__label_unsafe_source
2,0.4310262761733763,318.397672952,0.008399483457375853,0.011894732600553874,0.28669452566738957,0.23926779455956051,0.10736895652506556,-0.06898554042296978
3,0.3357267595925856,290.8357043352246,0.08582849791695711,0.07610830488464215,0.46270954320448143,0.4274146424601448,0.3220623391648697,0.2799175261709675
4,0.3562240427446187,272.69783670266753,0.09633277893322112,0.07830618645776025,0.4817134787039984,0.43248719164369914,0.30760371128226643,0.269393835518034
5,0.3887948019338029,276.58166520649934,0.09933796386891074,0.05362359115356334,0.46341486787413677,0.3142559147934232,0.2841528999360752,0.2843699743109282
6,0.3949348107929074,269.5423375952104,0.07677193738921757,0.03593817556482664,0.5106246210891489,0.36087290098983704,0.35130920889491973,0.3290845490906166
8,0.3867470768675529,269.3510911828146,0.09286327377304206,0.042358383835280074,0.5118986510709049,0.3263865339067683,0.3455753181943441,0.22401609200653275
10,0.4023151292477891,252.95677687757706,0.08670444732745798,0.03626149594330072,0.44405577411415365,0.24562428388789312,0.2647446053705459,0.16699425157474665
12,0.4265554093116043,248.83890749279402,0.08965287598172894,0.03188275162143571,0.4534405364376406,0.2574778368016246,0.2737055088347956,0.16421937143421036
