k,silhouette,calinski_harabasz,nmi__label_framework,ari__label_framework,nmi__label_root_cause_category,ari__label_root_cause_category,nmi__label_num_failures,ari__label_num_failures
2,0.3420393243838651,34.85883593097273,0.7423052571517867,0.7899820711317425,0.21892198061181803,0.056337242542985035,0.19172299243850371,0.07878737229174937
3,0.35721997479590184,37.02116177391076,0.7727902231846681,0.6621053211615818,0.3318316457354148,0.1367160619794509,0.2489036229764663,0.15260959828100135
4,0.3805207556026979,40.43745145179355,0.7082814315600919,0.5987397774500604,0.32103030988640635,0.09276290617427409,0.27846476837305256,0.156974119771291
5,0.3501803815427127,39.00253547243823,0.6218572706668248,0.4520408687169482,0.3356523039044987,0.09995862639635912,0.27381295391654764,0.05866219092844277
6,0.2914903583733924,36.72567071780439,0.5720236360668779,0.3600746438487097,0.33149167757643666,0.09192924722336487,0.31428517936909167,0.08434408146356971
