k,silhouette,calinski_harabasz,nmi__label_safe_unsafe,ari__label_safe_unsafe,nmi__label_mistake_agent,ari__label_mistake_agent,nmi__label_unsafe_source,ari__label_unsafe_source,nmi__label_domain,ari__label_domain
2,0.3579002336485839,719.388888234474,0.0026122702993989747,0.0034540019302972923,0.37807589646981293,0.24563666809112195,0.1919017298373231,0.28937337229078397,0.510716159877012,0.4047378444465756
3,0.3692980024702968,717.8021400908585,0.004618083240769754,0.00192298772361002,0.4155936735944608,0.266326101471004,0.3025404410793081,0.40840406953134006,0.5156992426375876,0.44241483836571954
4,0.38617453724781264,662.7247343552976,0.006675029067769008,0.002513503971183088,0.4702092495060633,0.2854912103166338,0.30298130219180025,0.40229344914449766,0.5257661475167881,0.4139812696669518
5,0.4059597180892753,623.1092802570296,0.05737905126807182,0.03789533663179528,0.4861691033912093,0.3394128788246384,0.32090987341978205,0.31033842614211854,0.4312885318134444,0.31956194731943094
6,0.3596058249147637,585.8628018993325,0.01201770269022687,0.00727956063086027,0.47064893735915975,0.25943647349977866,0.2627593972263355,0.3315135992916625,0.5026869214557685,0.38423167669358266
8,0.3942959691261938,568.3644767309678,0.06269433177333965,0.03171779987642753,0.48952727196078016,0.29780253966120773,0.28547673333514123,0.24264972431323312,0.4435586476788547,0.30877370906688884
10,0.4152971704995819,577.93684302886,0.07180928213825526,0.03205543010336839,0.505589842150209,0.3012077643914494,0.2925662181657473,0.2448253391078737,0.45170551247106383,0.3060261114386845
12,0.42516006382792,581.845179251047,0.07112498507737378,0.029568907740001458,0.5423303006869751,0.3176403518918142,0.3109689345135316,0.24777796890274245,0.4922352525957545,0.3365071925159206
16,0.4597249415084223,588.9812856801655,0.06717108378680962,0.022240192820594428,0.544375389699654,0.30581333842355873,0.28030578287742636,0.20867216361447938,0.4727431282758052,0.29399136180555774
