experiment,k,seed,label,silhouette,nmi,ari
aftraj_math,8,42,label_mistake_agent,0.32259013750033766,0.0928104347311831,0.05770131748329296
aftraj_math,8,7,label_mistake_agent,0.3100827324006457,0.09438590732528991,0.07319504921331357
aftraj_math,8,100,label_mistake_agent,0.3100316753120273,0.09576643544623312,0.0641687886091679
aftraj_math,8,137,label_mistake_agent,0.3366406700869977,0.07990955670096093,0.05129827494069852
aftraj_math,8,2023,label_mistake_agent,0.2908300022499126,0.09080763204823461,0.10097626039163272
aftraj_math,8,11,label_mistake_agent,0.29686659733461096,0.11147935529931077,0.06721394032078278
aftraj_math,8,53,label_mistake_agent,0.32039273360959697,0.08306451502578843,0.05550873412087328
aftraj_math,8,2027,label_mistake_agent,0.3411509134651755,0.0875339955292382,0.049772167565417524
aftraj_math,8,314,label_mistake_agent,0.3218754358242692,0.08677899013635294,0.055795054094970396
aftraj_math,8,911,label_mistake_agent,0.3408358400033696,0.08464667387514166,0.04790869528245405
