experiment,label,k,n_seeds,nmi_mean,nmi_std,nmi_ci_lo,nmi_ci_hi,ari_mean,ari_std,ari_ci_lo,ari_ci_hi,silhouette_mean,silhouette_std
aftraj_agentic,label_mistake_agent,10,10,0.441765204209618,0.010807987675257313,0.43592592729534024,0.4483170604254269,0.25059259153835806,0.015540626045498692,0.24382345862239058,0.2606285295960715,0.3938807305539265,0.008821671064321438
aftraj_agentic,label_unsafe_source,10,10,0.26802605293210185,0.007071328969619762,0.2644471864012814,0.2722651461096634,0.16040923059744,0.012915912545205155,0.15292886936260505,0.16799146438657914,0.3938807305539265,0.008821671064321438
aftraj_coding,label_mistake_agent,10,10,0.5140839347449928,7.401486830834377e-17,0.5140839347449928,0.5140839347449928,0.3375626939268987,0.0,0.3375626939268987,0.3375626939268987,0.8307576380209263,1.1702778228589004e-16
aftraj_full,label_domain,12,10,0.4849870820021048,0.019319955892859425,0.47240642797537474,0.4951817295817682,0.3246295346462893,0.026950429012909456,0.3085557583435965,0.33991929478270905,0.4310313958634574,0.006970286966601194
aftraj_full,label_mistake_agent,12,10,0.5372882423208944,0.017558865146125417,0.525914060067933,0.547062178543447,0.3151813091356118,0.014282389250972265,0.3057556006449918,0.32288363439971685,0.4310313958634574,0.006970286966601194
aftraj_full,label_unsafe_source,12,10,0.29870048882441935,0.012224996912037399,0.29092246755517764,0.3053982929694066,0.23787984630443032,0.010574847172613887,0.23207247413693613,0.24389277952726443,0.4310313958634574,0.006970286966601194
aftraj_math,label_mistake_agent,8,10,0.09071834961177336,0.008896150210694249,0.08599733141582518,0.09640252776462574,0.06235382820226036,0.015765091910261052,0.05469380234762452,0.0724056631575649,0.3191296737786943,0.01746416548732363
agenterrorbench_full,label_failure_type_first,3,10,0.11725124926788469,0.0024357783451296753,0.11545363656877775,0.11834685742938036,-0.011463493531869824,0.0036115702369133636,-0.012850913984223881,-0.008997867107607197,0.404792546449256,0.041520619650946
agenterrorbench_full,label_task_type,3,10,0.5550310708884547,0.009730656574240718,0.5482670856518933,0.5598148714969012,0.46660000551194597,0.06761461714504127,0.44265295451969955,0.511480906295187,0.404792546449256,0.041520619650946
agentrx_full,label_framework,4,10,0.7244391687664928,0.008515875234445462,0.7183800173140924,0.728478603068093,0.6261500136917924,0.014446462954527856,0.615871175101143,0.6330025727522255,0.38628324073606046,0.0030370963340474654
agentrx_full,label_root_cause_category,4,10,0.3178842800487477,0.0016581033123085074,0.317097772589333,0.3190640412378697,0.09859536595973288,0.003073976213897803,0.09640819354018584,0.10005348090609759,0.38628324073606046,0.0030370963340474654
