experiment,k,seed,label,silhouette,nmi,ari
agentrx_full,4,42,label_framework,0.3805207556026979,0.7082814315600919,0.5987397774500604
agentrx_full,4,42,label_root_cause_category,0.3805207556026979,0.32103030988640635,0.09276290617427409
agentrx_full,4,7,label_framework,0.38772386201940107,0.7284786030680929,0.6330025727522255
agentrx_full,4,7,label_root_cause_category,0.38772386201940107,0.317097772589333,0.10005348090609759
agentrx_full,4,100,label_framework,0.38772386201940107,0.7284786030680929,0.6330025727522255
agentrx_full,4,100,label_root_cause_category,0.38772386201940107,0.31709777258933314,0.10005348090609759
agentrx_full,4,137,label_framework,0.38772386201940107,0.7284786030680929,0.6330025727522255
agentrx_full,4,137,label_root_cause_category,0.38772386201940107,0.317097772589333,0.10005348090609759
agentrx_full,4,2023,label_framework,0.38772386201940107,0.728478603068093,0.6330025727522255
agentrx_full,4,2023,label_root_cause_category,0.38772386201940107,0.317097772589333,0.10005348090609759
agentrx_full,4,11,label_framework,0.38772386201940107,0.7284786030680929,0.6330025727522255
agentrx_full,4,11,label_root_cause_category,0.38772386201940107,0.31709777258933314,0.10005348090609759
agentrx_full,4,53,label_framework,0.38772386201940107,0.7284786030680929,0.6330025727522255
agentrx_full,4,53,label_root_cause_category,0.38772386201940107,0.3170977725893331,0.10005348090609759
agentrx_full,4,2027,label_framework,0.38772386201940107,0.728478603068093,0.6330025727522255
agentrx_full,4,2027,label_root_cause_category,0.38772386201940107,0.317097772589333,0.10005348090609759
agentrx_full,4,314,label_framework,0.38772386201940107,0.728478603068093,0.6330025727522255
agentrx_full,4,314,label_root_cause_category,0.38772386201940107,0.317097772589333,0.10005348090609759
agentrx_full,4,911,label_framework,0.3805207556026979,0.7082814315600918,0.5987397774500604
agentrx_full,4,911,label_root_cause_category,0.3805207556026979,0.32103030988640635,0.09276290617427409
