experiment,k,seed,label,silhouette,nmi,ari
agenterrorbench_full,3,42,label_task_type,0.4165138168200517,0.536634880843637,0.43383724209728863
agenterrorbench_full,3,42,label_failure_type_first,0.4165138168200517,0.11630662159773361,-0.01145411300772356
agenterrorbench_full,3,7,label_task_type,0.4198917678562632,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,7,label_failure_type_first,0.4198917678562632,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,100,label_task_type,0.4198917678562632,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,100,label_failure_type_first,0.4198917678562632,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,137,label_task_type,0.4198917678562632,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,137,label_failure_type_first,0.4198917678562632,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,2023,label_task_type,0.4198917678562632,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,2023,label_failure_type_first,0.4198917678562632,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,11,label_task_type,0.4143139695402988,0.5596208389024396,0.4484057121450048
agenterrorbench_full,3,11,label_failure_type_first,0.4143139695402988,0.11788275770909223,-0.013153370703368856
agenterrorbench_full,3,53,label_task_type,0.4165138168200517,0.536634880843637,0.43383724209728863
agenterrorbench_full,3,53,label_failure_type_first,0.4165138168200517,0.11630662159773358,-0.01145411300772356
agenterrorbench_full,3,2027,label_task_type,0.4198917678562632,0.5600849248319562,0.4486544801242757
agenterrorbench_full,3,2027,label_failure_type_first,0.4198917678562632,0.11865625724290577,-0.012816411861667317
agenterrorbench_full,3,314,label_task_type,0.4143139695402988,0.5596208389024396,0.4484057121450048
agenterrorbench_full,3,314,label_failure_type_first,0.4143139695402988,0.11788275770909225,-0.013153370703368856
agenterrorbench_full,3,911,label_task_type,0.2868110524905435,0.5573746452326138,0.6582417460134942
agenterrorbench_full,3,911,label_failure_type_first,0.2868110524905435,0.11085244785066624,-0.0013379085881768317
