experiment,k,seed,label,silhouette,nmi,ari
aftraj_full,12,42,label_mistake_agent,0.42516006382792,0.5423303006869751,0.3176403518918142
aftraj_full,12,42,label_domain,0.42516006382792,0.4922352525957545,0.3365071925159206
aftraj_full,12,42,label_unsafe_source,0.42516006382792,0.3109689345135316,0.24777796890274245
aftraj_full,12,7,label_mistake_agent,0.4378425817198504,0.5343581722812912,0.3124339355835577
aftraj_full,12,7,label_domain,0.4378425817198504,0.4740730695735313,0.301076882743372
aftraj_full,12,7,label_unsafe_source,0.4378425817198504,0.2990774425260728,0.25198746930977023
aftraj_full,12,100,label_mistake_agent,0.4419747795968122,0.5535373347221556,0.32992853118197923
aftraj_full,12,100,label_domain,0.4419747795968122,0.5003100778126142,0.3423506559385087
aftraj_full,12,100,label_unsafe_source,0.4419747795968122,0.2989768766595629,0.23524875859807626
aftraj_full,12,137,label_mistake_agent,0.4396974847004756,0.5533365488820413,0.32790777877912475
aftraj_full,12,137,label_domain,0.4396974847004756,0.5020627845893199,0.33657829001022044
aftraj_full,12,137,label_unsafe_source,0.4396974847004756,0.29731284652437784,0.2247096599251665
aftraj_full,12,2023,label_mistake_agent,0.4353559517080111,0.5557286805762214,0.3293426359864785
aftraj_full,12,2023,label_domain,0.4353559517080111,0.5108505576340657,0.37274106672746865
aftraj_full,12,2023,label_unsafe_source,0.4353559517080111,0.3052481590682851,0.23249221640899984
aftraj_full,12,11,label_mistake_agent,0.4273580662763701,0.543138616004004,0.32012424352142255
aftraj_full,12,11,label_domain,0.4273580662763701,0.48479923894078786,0.3299637796260904
aftraj_full,12,11,label_unsafe_source,0.4273580662763701,0.30877370617740385,0.24665923759183017
aftraj_full,12,53,label_mistake_agent,0.4247754398117729,0.5428141406990573,0.3182974145917926
aftraj_full,12,53,label_domain,0.4247754398117729,0.4889670305110917,0.33581922793087465
aftraj_full,12,53,label_unsafe_source,0.4247754398117729,0.3125251661609547,0.24882706527956724
aftraj_full,12,2027,label_mistake_agent,0.42542774196226507,0.5278543643905351,0.309369650812169
aftraj_full,12,2027,label_domain,0.42542774196226507,0.47949455464908775,0.3088441907399224
aftraj_full,12,2027,label_unsafe_source,0.42542774196226507,0.29080980753327235,0.23330522090552655
aftraj_full,12,314,label_mistake_agent,0.42911600217019485,0.4993013112877319,0.28279752471020553
aftraj_full,12,314,label_domain,0.42911600217019485,0.4419957047309869,0.2764994482594885
aftraj_full,12,314,label_unsafe_source,0.42911600217019485,0.2713206233642688,0.2211249821683898
aftraj_full,12,911,label_mistake_agent,0.42360584686090197,0.5204829536789327,0.30397102429757417
aftraj_full,12,911,label_domain,0.42360584686090197,0.4750825489838072,0.30591461197102676
aftraj_full,12,911,label_unsafe_source,0.42360584686090197,0.2919913257164632,0.23666588395423419
aftraj_agentic,10,42,label_mistake_agent,0.4023151292477891,0.44405577411415365,0.24562428388789312
aftraj_agentic,10,42,label_unsafe_source,0.4023151292477891,0.2647446053705459,0.16699425157474665
aftraj_agentic,10,7,label_mistake_agent,0.3875804852376377,0.4339937574227991,0.2453509971853363
aftraj_agentic,10,7,label_unsafe_source,0.3875804852376377,0.2641005993806597,0.1460433891714346
aftraj_agentic,10,100,label_mistake_agent,0.38026280203302704,0.461737267931836,0.2919591912807247
