experiment,k,seed,label,silhouette,nmi,ari
aftraj_agentic,10,42,label_mistake_agent,0.4023151292477891,0.44405577411415365,0.24562428388789312
aftraj_agentic,10,42,label_unsafe_source,0.4023151292477891,0.2647446053705459,0.16699425157474665
aftraj_agentic,10,7,label_mistake_agent,0.3875804852376377,0.4339937574227991,0.2453509971853363
aftraj_agentic,10,7,label_unsafe_source,0.3875804852376377,0.2641005993806597,0.1460433891714346
aftraj_agentic,10,100,label_mistake_agent,0.38026280203302704,0.461737267931836,0.2919591912807247
aftraj_agentic,10,100,label_unsafe_source,0.38026280203302704,0.28097283430063524,0.16653357636949295
aftraj_agentic,10,137,label_mistake_agent,0.4018520098675199,0.4501536552846824,0.2488625457696087
aftraj_agentic,10,137,label_unsafe_source,0.4018520098675199,0.2742038536255585,0.17107079299736266
aftraj_agentic,10,2023,label_mistake_agent,0.40261754205874567,0.4413464137206265,0.24225546531937123
aftraj_agentic,10,2023,label_unsafe_source,0.40261754205874567,0.2639702107037363,0.1658665962274171
aftraj_agentic,10,11,label_mistake_agent,0.3861611825491489,0.4378484067608569,0.2445622563863127
aftraj_agentic,10,11,label_unsafe_source,0.3861611825491489,0.2670144249609872,0.14702635710766465
aftraj_agentic,10,53,label_mistake_agent,0.3861516140001547,0.42899102960258784,0.2411012033899498
aftraj_agentic,10,53,label_unsafe_source,0.3861516140001547,0.261683802184159,0.1463596369551407
aftraj_agentic,10,2027,label_mistake_agent,0.38899720573968355,0.42577733097689713,0.2390547359980091
aftraj_agentic,10,2027,label_unsafe_source,0.38899720573968355,0.2615595832517207,0.14616650198474757
aftraj_agentic,10,314,label_mistake_agent,0.39957184668933965,0.4507413588528766,0.2590708208856593
aftraj_agentic,10,314,label_unsafe_source,0.39957184668933965,0.2781048587032975,0.1817961393788047
aftraj_agentic,10,911,label_mistake_agent,0.403297488116219,0.4430070474288643,0.24808441528071548
aftraj_agentic,10,911,label_unsafe_source,0.403297488116219,0.26390575683971806,0.1662350642075885
