feature,mean_planning,mean_other,cohens_d,t_stat,p_value,single_feature_auc
search_keyword_diversity,0.5541863021996793,0.1052154375278997,1.5116653611940598,6.1017846391219495,6.796931946994189e-07,0.8054043153861665
total_tool_calls,15.241379310344827,24.935672514619885,-1.057047846095608,-3.9475089480273327,0.00040145321862712066,0.76497277676951
finalization_lateness,1.257924222320507,1.0612825673351989,1.203428672217459,2.95241968316205,0.006218805784172969,0.7253478523895948
empty_observation_ratio,0.2579242223205071,0.06128256733519889,1.2034286722174596,2.9524196831620517,0.006218805784172939,0.7253478523895948
n_iters,32.275862068965516,53.1578947368421,-1.159710499825902,-4.271645287995768,0.00016158784632100038,0.7253478523895946
tool_path_length_norm,0.7788573868748954,0.9289166486534907,-0.8867620507913601,-2.414091750735997,0.022233237989430242,0.7228271828997782
retry_burst_max,4.0344827586206895,8.192982456140351,-0.6957434232685632,-4.608287707151842,2.627011317699829e-05,0.7168784029038112
avg_observation_length,33887.986797114485,8951.850146468218,1.2307236206477528,3.366807241856517,0.0021360459316316894,0.710727969348659
retry_burst_ratio,0.2190936265613323,0.4176706561794281,-0.7193151777428305,-4.054206528956037,0.00020918139473199906,0.7092155676547691
repeated_search_keyword_ratio,0.30889612837176206,0.04723947440621225,1.2696045612809506,3.9753392416025815,0.00040196059716568396,0.7043758822343215
repeated_tool_ratio,0.6449128622731476,0.9020789509378493,-1.1406238835009708,-3.429086613731141,0.00177982223016527,0.7032667876588021
avg_thought_length,1108.743876848985,585.4005141252509,0.5320917162938364,1.928785789837193,0.06269853799852172,0.6932849364791289
reasoning_depth_growth,165.8862464394201,84.8010155710272,0.09593169469364882,0.8560578978297206,0.3939230840244834,0.6685823754789272
tool_transition_entropy,1.5447546748854837,2.345867484916923,-0.6975423094329661,-3.488826652854478,0.0012371902820970037,0.654164145997177
unique_tool_count,2.9655172413793105,4.514619883040936,-0.5756875437267934,-3.4122481050816167,0.0013692036749601627,0.6490219802379511
hypothesis_persistence,24.17241379310345,27.83625730994152,-0.27198415487622607,-0.8447787128204952,0.4048552438762648,0.6243194192377496
fixation_score,0.5595949436191936,0.4745147020029484,0.6314371564197169,1.7929263744618715,0.08320408278603705,0.5882234321435774
exploration_index,0.3272344002278604,0.22942375126323825,0.44824465540139785,1.5846193940019797,0.1230141060976005,0.5468844525105869
tool_bigram_diversity,0.4465393450285386,0.3901758667894664,0.19865761752958375,0.767252740727476,0.448428619849766,0.514519056261343
thought_drift_slope,0.019423516639743944,0.0041005989476931475,0.38386817718984717,0.9219315718788906,0.3642592175710044,0.5105868118572293
final_correct,0.0,0.0,0.0,,,0.5
empty_observation_burst,1.0,1.0,0.0,,,0.5
retrieval_positive_count,0.0,0.0,0.0,,,0.5
hint_count,0.0,0.0,0.0,,,0.5
time_s,0.0,0.0,0.0,,,0.5
tokens,0.0,0.0,0.0,,,0.5
retrieval_negative_count,0.0,0.0,0.0,,,0.5
