experiment,label,k,behavioral,sequential,sequential+behavioral,structural,structural+behavioral,structural+sequential,structural+sequential+behavioral
aftraj_full,label_domain,12,0.38451130485106444,0.40490500282621666,0.4418638296253659,0.4414474886881066,0.44831861046162497,0.453088581012111,0.4922352525957545
aftraj_full,label_mistake_agent,12,0.35829221051566096,0.4845048763116265,0.4922472544690515,0.5113582043281069,0.5040874301690659,0.5153437461714314,0.5423303006869751
aftraj_full,label_unsafe_source,12,0.18706284228595618,0.22982589392271377,0.2580805420699907,0.2850447191768044,0.26460763721840314,0.29890454805499267,0.3109689345135316
agenterrorbench_full,label_failure_type_first,3,0.06955227363017456,0.11034184840817077,0.11522212811717032,0.11682853029580297,0.11865625724290577,0.11124227071343923,0.11630662159773361
agenterrorbench_full,label_task_type,3,0.23940236325750774,0.36949350577396817,0.43175479857187643,0.537046061316234,0.5600849248319562,0.5443883392262127,0.536634880843637
agentrx_full,label_framework,4,0.33847431897908337,0.596141782334767,0.716725563464073,0.6833751232327444,0.6638725136604351,0.6710373031358458,0.7082814315600919
agentrx_full,label_root_cause_category,4,0.2795113748425771,0.29069352143582816,0.3303065163797565,0.3448745931172329,0.29160569607956355,0.34629695693661816,0.32103030988640635
